date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere
19.11.2004;32;39;12;7;-;5;-;5
12.11.2004;31;40;12;7;-;5;-;5
05.11.2004;30;40;13;8;-;5;-;4
29.10.2004;31;38;12;8;-;6;-;5
22.10.2004;31;38;12;8;-;5;-;6
15.10.2004;30;40;13;7;-;5;-;5
08.10.2004;29;41;12;7;-;6;-;5
01.10.2004;29;41;12;7;-;6;-;5
24.09.2004;26;43;13;7;-;6;-;5
17.09.2004;26;43;13;6;-;6;-;6
10.09.2004;26;44;13;6;-;6;-;5
03.09.2004;26;44;12;6;-;7;-;5
27.08.2004;25;43;12;7;-;7;-;6
20.08.2004;24;43;13;6;-;8;-;6
13.08.2004;24;44;12;7;-;8;-;5
06.08.2004;23;44;13;8;-;7;-;5
30.07.2004;25;44;12;7;-;7;-;5
23.07.2004;25;44;12;7;-;7;-;5
16.07.2004;23;46;13;7;-;7;-;4
12.07.2004;23;45;13;7;-;7;-;5
02.07.2004;23;45;13;7;-;7;-;5
25.06.2004;24;45;13;7;-;6;-;5
18.06.2004;24;45;12;8;-;6;-;5
11.06.2004;26;46;11;8;-;5;-;4
04.06.2004;27;46;11;6;-;5;-;5
28.05.2004;27;46;11;7;-;5;-;4
21.05.2004;26;47;11;6;-;5;-;5
14.05.2004;26;47;12;7;-;4;-;4
07.05.2004;27;46;12;7;-;4;-;4
30.04.2004;26;47;11;6;-;5;-;5
23.04.2004;27;46;11;6;-;5;-;5
16.04.2004;27;46;11;7;-;5;-;4
08.04.2004;27;46;11;7;-;5;-;4
02.04.2004;27;47;11;7;-;5;-;3
26.03.2004;26;48;11;6;-;5;-;4
19.03.2004;26;48;12;6;-;4;-;4
12.03.2004;25;49;11;6;-;5;-;4
05.03.2004;24;50;11;6;-;5;-;4
27.02.2004;25;47;11;9;-;5;-;3
20.02.2004;25;47;11;9;-;5;-;3
13.02.2004;24;48;11;8;-;5;-;4
06.02.2004;24;49;11;8;-;5;-;3
30.01.2004;25;48;11;8;-;5;-;3
23.01.2004;25;47;12;8;-;5;-;3
16.01.2004;26;48;11;7;-;5;-;3
09.01.2004;26;48;10;7;-;5;-;4
19.12.2003;26;49;11;6;-;4;-;4
12.12.2003;25;50;10;7;-;4;-;4
05.12.2003;26;51;10;6;-;3;-;4
28.11.2003;27;49;11;7;-;3;-;3
21.11.2003;27;49;11;7;-;3;-;3
14.11.2003;25;50;11;6;-;4;-;4
07.11.2003;24;51;10;7;-;4;-;4
31.10.2003;24;51;11;6;-;4;-;4
24.10.2003;25;50;12;6;-;3;-;4
17.10.2003;26;50;11;5;-;3;-;5
